,words,counts
1225,usually,122594.0
1226,sake,122419.0
1227,proved,122357.0
1228,governor,122254.0
1229,drink,122119.0
1230,dry,122116.0
1231,ones,121903.0
1232,peter,121862.0
1233,possessed,121726.0
1234,particularly,121724.0
1235,prevent,121717.0
1236,coast,121467.0
1237,smiled,121462.0
1238,serious,121391.0
1239,heads,121375.0
1240,degree,121018.0
1241,described,120896.0
1242,ears,120893.0
1243,song,120860.0
1244,shown,120734.0
1245,dream,120610.0
1246,threw,120576.0
1247,ha,120516.0
1248,spoken,120410.0
1249,servant,120223.0
1250,fallen,120202.0
1251,conditions,120050.0
1252,report,120037.0
1253,liberty,119930.0
1254,clothes,119867.0
1255,forms,119813.0
1256,group,119810.0
1257,drawing,119774.0
1258,exactly,119388.0
1259,jesus,119355.0
1260,dont,119269.0
1261,native,119154.0
1262,powers,119109.0
1263,valley,119069.0
1264,guard,119017.0
1265,broad,118772.0
1266,repeated,118708.0
1267,mentioned,118571.0
1268,pure,118533.0
1269,divine,118208.0
1270,immediate,118063.0
1271,site,117979.0
1272,engaged,117902.0
1273,crowd,117784.0
1274,decided,117663.0
1275,path,117606.0
1276,extent,117549.0
1277,method,117287.0
1278,glory,117190.0
1279,paul,117124.0
1280,shook,117097.0
1281,wine,116956.0
1282,era,116947.0
1283,spite,116903.0
1284,total,116850.0
1285,fate,116660.0
1286,weeks,116505.0
1287,intended,116419.0
1288,caused,116273.0
1289,golden,116242.0
1290,professor,116172.0
1291,throughout,116119.0
1292,direct,116117.0
1293,progress,116111.0
1294,produce,116107.0
1295,damages,116086.0
1296,science,115950.0
1297,major,115942.0
1298,interesting,115931.0
1299,consider,115888.0
1300,sick,115877.0
1301,serve,115671.0
1302,sword,115654.0
1303,minister,115631.0
1304,opposite,115588.0
1305,finished,115562.0
1306,pride,115548.0
1307,animal,115432.0
1308,louis,115292.0
1309,auf,115272.0
1310,hills,115263.0
1311,anxious,115256.0
1312,expect,115172.0
1313,ordinary,115165.0
1314,nine,115138.0
1315,meaning,114983.0
1316,importance,114844.0
1317,emperor,114781.0
1318,capital,114502.0
1319,mighty,114455.0
1320,permitted,114398.0
1321,birds,114332.0
1322,watched,114275.0
1323,principal,114091.0
1324,re,114053.0
1325,located,113940.0
1326,instance,113904.0
1327,narrow,113838.0
1328,offer,113820.0
1329,included,113792.0
1330,sides,113770.0
1331,editions,113757.0
1332,bread,113684.0
1333,curious,113501.0
1334,greatly,113478.0
1335,fancy,113455.0
1336,stream,113443.0
1337,requirements,113414.0
1338,neck,113388.0
1339,confidence,113345.0
1340,sharp,113185.0
1341,evidence,113181.0
1342,education,113177.0
1343,glance,113132.0
1344,excellent,113062.0
1345,honor,113043.0
1346,clearly,113011.0
1347,holding,112974.0
1348,don,112866.0
1349,sign,112516.0
1350,similar,112382.0
1351,difference,112299.0
1352,vol,112194.0
1353,gate,112154.0
1354,ideas,111987.0
1355,surface,111982.0
1356,islands,111955.0
1357,pieces,111904.0
1358,aside,111880.0
1359,created,111852.0
1360,vast,111840.0
1361,rising,111794.0
1362,sentence,111600.0
1363,station,111489.0
1364,providing,111450.0
1365,obliged,111319.0
1366,legal,111303.0
1367,yellow,111223.0
1368,square,111192.0
1369,forced,111164.0
1370,dropped,111038.0
1371,fees,110944.0
1372,otherwise,110939.0
